gtfs_route_id,route_name_display,data_note,route_category,cost_effectiveness_rank,crowding_metric,reliability_metric,span_of_service_metric,frequency_metric,perc_low_income_riders,perc_minority_riders,perc_vulnerable_fare_riders,perc_1_ride_journeys,perc_2_ride_journeys,perc_3_ride_journeys,perc_4more_ride_journeys,average_daily_boardings
459,459,,Commuter,118,0.9968,0.351743,Pass,Fail,,,19%,89.41%,7.57%,1.64%,1.37%,872.6625191
64,64,,Local,119,0.8804,0.597051,Pass,Pass,,,13%,84.05%,11.58%,3.11%,1.25%,1924.346439
502,502,,Commuter,120,0.9666,0.854949,Pass,Pass,,,4%,87.52%,11.46%,0.93%,0.08%,891.0202337
59,59,,Local,121,0.9979,0.497371,Pass,Fail,,,21%,74.21%,17.33%,4.78%,3.68%,1006.623184
441,441,,Local,122,0.9537,0.613955,Fail,Fail,,,20%,73.14%,15.90%,6.45%,4.50%,1619.431539
11,11,,Local,123,0.9261,0.641417,Pass,Pass,,,19%,81.04%,13.51%,4.29%,1.16%,2956.149072
62,62,,Local,124,0.9083,0.57837,Pass,Fail,,,13%,70.11%,22.36%,5.63%,1.90%,1247.543324
435,435,,Local,125,0.9968,0.533346,Fail,Fail,,,19%,90.63%,6.58%,1.18%,1.61%,676.313499
55,55,,Local,126,0.9978,0.658523,Pass,Pass,,,30%,89.37%,7.12%,2.98%,0.53%,599.6162512
708,CT3,,Local,127,0.9905,0.440245,Fail,Pass,,,19%,67.93%,24.66%,6.88%,0.53%,1063.492595
170,170,,Commuter,128,1,0.591185,Fail,Fail,,,18%,76.62%,19.42%,3.96%,0.00%,37.80498001
8,8,,Local,129,0.9881,0.379781,Pass,Pass,,,29%,73.29%,20.23%,5.37%,1.11%,2321.494817
450,450,,Local,130,0.9806,0.504456,Pass,Fail,,,14%,81.92%,11.99%,5.17%,0.91%,1853.416903
429,429,,Local,131,0.9442,0.565652,Pass,Fail,,,32%,90.99%,6.54%,1.49%,0.97%,1527.057528
747,CT2,,Local,132,0.9489,0.480655,Fail,Pass,,,8%,79.42%,15.67%,4.13%,0.79%,2112.211372
222,222,,Local,133,0.9709,0.605519,Pass,Pass,,,19%,68.43%,20.69%,8.40%,2.49%,1722.532148
80,80,,Local,134,0.9461,0.60546,Pass,Pass,,,13%,88.33%,8.16%,2.85%,0.66%,2483.04699
73,73,,Key Bus,135,0.956,0.819051,Pass,Fail,,,12%,98.81%,0.99%,0.14%,0.05%,6148.132249
,70/70A,,,136,,,,,,,,,,,,
7,7,,Local,137,0.7995,0.710222,Pass,Pass,,,6%,88.30%,8.51%,2.81%,0.38%,3894.730532
455,455,,Local,138,0.9514,0.489828,Pass,Fail,,,16%,80.40%,11.10%,4.87%,3.63%,3043.501397
556,556,,Commuter,139,1,0.550642,Pass,Pass,,,8%,88.38%,9.43%,1.62%,0.57%,386.9588264
240,240,,Local,140,0.9637,0.503399,Pass,Pass,,,25%,74.39%,16.49%,7.45%,1.67%,3048.485974
230,230,,Local,141,0.9901,0.515914,Pass,Fail,,,18%,72.59%,18.51%,7.64%,1.26%,1917.862331
449,449,,Commuter,142,0.9489,0.393137,Fail,Fail,,,8%,76.07%,13.85%,4.99%,5.09%,162.4017293
77,77,,Key Bus,143,0.9289,0.755829,Pass,Pass,,,22%,75.88%,17.20%,5.20%,1.72%,8020.252902
78,78,,Local,144,0.9897,0.599393,Pass,Pass,,,16%,74.84%,16.78%,5.90%,2.48%,1549.180089
92,92,,Local,145,0.9639,0.635283,Pass,Pass,,,16%,85.33%,12.18%,2.25%,0.23%,874.8931113
436,436,,Local,146,0.9998,0.58017,Pass,Fail,,,25%,89.54%,7.52%,1.92%,1.03%,673.252728
465,465,,Local,147,1,0.526722,Fail,Fail,,,28%,92.37%,6.83%,0.29%,0.52%,344.4219251
553,553,,Local,148,1,0.519237,Fail,Fail,,,11%,86.75%,11.05%,2.06%,0.13%,807.2291575
558,558,,Commuter,149,1,0.429098,Fail,Fail,,,8%,88.45%,9.80%,1.51%,0.24%,357.1113062
76,76,,Local,150,0.9515,0.610882,Pass,Fail,,,11%,67.18%,24.43%,6.35%,2.04%,919.194411
442,442,,Local,151,0.9468,0.682112,Pass,Fail,,,19%,65.96%,19.54%,8.47%,6.02%,1834.168421
554,554,,Local,152,,0.497323,Fail,Fail,,,12%,82.82%,14.87%,2.03%,0.29%,606.2477676
350,350,,Local,153,0.9727,0.587865,Pass,Pass,,,14%,70.65%,19.33%,7.20%,2.82%,1850.949243
351,351,,Commuter,154,1,0.672649,Fail,Pass,,,1%,72.54%,18.08%,8.43%,0.94%,148.3593273
451,451,,Commuter,155,0.9891,0.608182,Fail,Fail,,,15%,92.50%,7.50%,0.00%,0.00%,30.29132076
220,220,,Local,156,0.9841,0.640545,Pass,Pass,,,19%,71.05%,19.42%,8.18%,1.35%,2060.421791
60,60,,Local,157,0.9995,0.685963,Pass,Pass,,,14%,80.09%,10.59%,7.27%,2.05%,1548.091294
428,428,,Commuter,158,0.9695,0.587344,Fail,Pass,,,4%,84.42%,11.33%,3.96%,0.30%,143.1263377
501,501,,Commuter,159,0.9268,0.725019,Pass,Pass,,,11%,91.35%,6.96%,1.57%,0.12%,1376.057693
352,352,,Commuter,160,1,0.611389,Fail,Pass,,,4%,92.04%,6.68%,1.21%,0.07%,352.580096
4,4,,Commuter,161,1,0.524673,Fail,Pass,,,7%,76.72%,19.09%,4.03%,0.17%,342.9888314
504,504,,Commuter,162,0.9623,0.638034,Pass,Pass,,,5%,91.36%,7.87%,0.76%,0.01%,1399.706315
354,354,,Commuter,163,0.9812,0.448298,Pass,Pass,,,3%,88.08%,9.15%,2.64%,0.13%,557.4011925
326,326,,Commuter,164,0.9937,0.570756,Pass,Pass,,,3%,90.93%,8.36%,0.68%,0.04%,460.361587
505,505,,Commuter,165,0.9956,0.61706,Pass,Pass,,,6%,94.81%,4.59%,0.51%,0.09%,775.3956643
325,325,,Commuter,166,1,0.497378,Pass,Pass,,,4%,91.09%,7.09%,1.68%,0.14%,337.8704174
34,34,,Local,,0.9057,0.646121,,,,,28%,69.65%,22.96%,6.32%,1.07%,3847.664961
57,57,,Key Bus,,0.8767,0.761645,,,,,17%,79.68%,14.18%,4.71%,1.44%,10807.03664
70,70,,Local,,0.9295,0.562595,,,,,14%,72.85%,18.76%,5.69%,2.70%,6008.566685
171,171,No Service Delivery Policy Metrics Available,Supplemental,,1,0.722891,,,,,17%,71.01%,28.99%,0.00%,0.00%,29.6
195,195,No Service Delivery Policy Metrics Available,Supplemental,,,0.520833,,,,,,,,,,
201,201,No Service Delivery Policy Metrics Available,Local,,1,0.661066,Pass,Fail,,,33%,63.99%,21.23%,11.54%,3.24%,691.4884292
202,202,No Service Delivery Policy Metrics Available,Local,,0.9987,0.639307,Fail,Fail,,,40%,63.78%,22.44%,11.17%,2.62%,536.7533078
431,431,No Service Delivery Policy Metrics Available,,,1,,Fail,Fail,,,,,,,,
710,710,No ODX Data Available,Local,,,,Fail,Fail,,,,,,,,
712,712,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
713,713,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
714,714,No ODX Data Available,Local,,,,Pass,Fail,,,,,,,,
716,716,No ODX Data Available,Local,,,,Fail,Fail,,,,,,,,
9701,9701,No Service Delivery Policy Metrics Available,Supplemental,,1,0.487179,,,,,100%,100.00%,0.00%,0.00%,0.00%,1.3
9702,9702,No Service Delivery Policy Metrics Available,Supplemental,,,0.682758,,,,,,,,,,
9703,9703,No Service Delivery Policy Metrics Available,Supplemental,,1,0.573426,,,,,100%,100.00%,0.00%,0.00%,0.00%,6.4
116117,116/117,No ODX or Service Delivery Policy Data Available,,,0.9158,,,,,,,,,,,
214216,214/216,No ODX or Service Delivery Policy Data Available,,,1,,,,,,,,,,,
2427,24/27,No ODX or Service Delivery Policy Data Available,,,1,,,,,,,,,,,
3233,32/33,No ODX or Service Delivery Policy Data Available,,,,,,,,,,,,,,
34E,34E,No Service Delivery Policy Metrics Available,,,0.932,0.502053,,,,,22%,71.48%,20.89%,6.53%,1.10%,3802.153153
3738,37/38,No ODX or Service Delivery Policy Data Available,,,,,,,,,,,,,,
4050,40/50,No ODX or Service Delivery Policy Data Available,,,0.9897,,,,,,,,,,,
441442,441/442,No Service Delivery Policy Metrics Available,,,0.9673,,,,,,,,,,,
57A,57A,No Service Delivery Policy Metrics Available,,,0.8012,0.710581,,,,,13%,78.57%,14.47%,5.32%,1.63%,1646.986259
627,62/76,No Service Delivery Policy Metrics Available,,,,,,,,,,,,,,
70A,70A,No Service Delivery Policy Metrics Available,,,0.9703,0.397298,,,,,12%,69.32%,20.57%,6.52%,3.59%,1469.116915
725,72/75,No Service Delivery Policy Metrics Available,,,,,,,,,,,,,,
8993,89/93,No ODX or Service Delivery Policy Data Available,,,,,,,,,,,,,,
